transport_type,distance_km,electricity_kwh,diet_type,waste_kg,flights_per_year,transport_co2,electricity_co2,diet_co2,waste_co2,flight_co2,total_co2_kg
cycle,44.03,109.99,vegetarian,21.58,0,0.0,90.19,100,10.79,0.0,193.18
car_petrol,7.53,184.55,meat_light,18.8,3,47.43,151.33,200,9.4,63.75,487.8
car_petrol,33.29,200.38,pescatarian,9.14,6,209.71,164.31,150,4.57,127.5,631.27
car_diesel,66.72,195.8,meat_heavy,24.09,4,340.29,160.56,300,12.05,85.0,835.43
cycle,25.98,97.24,meat_light,22.79,6,0.0,79.74,200,11.39,127.5,446.22
motorcycle,1.02,214.9,meat_light,16.35,1,3.36,176.22,200,8.17,21.25,379.89
motorcycle,15.83,162.03,pescatarian,24.87,1,52.23,132.86,150,12.44,21.25,343.17
walking,11.16,18.54,meat_light,17.32,2,0.0,15.2,200,8.66,42.5,275.54
car_diesel,9.48,171.02,vegan,13.25,1,48.36,140.24,50,6.62,21.25,282.24
cycle,14.9,101.84,meat_light,19.38,2,0.0,83.51,200,9.69,42.5,321.99
motorcycle,45.63,129.56,meat_light,24.0,0,150.59,106.24,200,12.0,0.0,438.97
cycle,42.94,137.25,pescatarian,29.43,1,0.0,112.54,150,14.72,21.25,278.99
train,21.83,120.3,vegetarian,16.02,0,19.65,98.65,100,8.01,0.0,229.49
cycle,0.44,155.74,meat_heavy,15.25,0,0.0,127.71,300,7.63,0.0,424.86
bus,8.01,221.32,meat_light,34.79,2,9.61,181.48,200,17.4,42.5,429.77
car_electric,3.37,172.98,meat_heavy,13.56,4,5.06,141.85,300,6.78,85.0,549.75
car_petrol,2.79,169.39,meat_light,30.27,2,17.59,138.9,200,15.14,42.5,427.59
cycle,1.45,188.26,vegetarian,23.6,1,0.0,154.38,100,11.8,21.25,278.88
walking,0.85,78.33,meat_light,22.29,0,0.0,64.23,200,11.14,0.0,263.71
motorcycle,61.58,122.35,meat_heavy,17.01,1,203.21,100.33,300,8.51,21.25,675.02
car_petrol,25.96,114.64,meat_light,16.33,1,163.53,94.0,200,8.17,21.25,506.8
car_diesel,14.85,163.75,vegetarian,19.64,0,75.75,134.27,100,9.82,0.0,312.41
bus,7.27,137.16,meat_heavy,23.04,0,8.72,112.47,300,11.52,0.0,443.55
cycle,4.62,147.05,meat_heavy,23.91,2,0.0,120.58,300,11.96,42.5,459.95
car_petrol,9.05,139.32,meat_heavy,12.7,0,57.02,114.25,300,6.35,0.0,449.36
bus,5.49,230.8,meat_light,9.91,2,6.59,189.25,200,4.96,42.5,456.26
bus,7.73,146.81,meat_heavy,15.59,1,9.28,120.39,300,7.8,21.25,483.11
walking,4.47,215.43,meat_heavy,29.6,6,0.0,176.65,300,14.8,127.5,637.44
car_diesel,40.06,163.0,meat_heavy,17.57,0,204.29,133.66,300,8.79,0.0,660.25
motorcycle,14.4,214.15,meat_heavy,13.81,4,47.51,175.6,300,6.91,85.0,583.01
cycle,33.43,143.97,vegetarian,19.54,3,0.0,118.06,100,9.77,63.75,297.79
train,7.43,236.99,vegetarian,8.59,2,6.69,194.33,100,4.3,42.5,333.07
bus,12.99,96.22,vegan,21.75,3,15.59,78.9,50,10.88,63.75,211.04
cycle,183.48,108.82,meat_light,13.25,4,0.0,89.23,200,6.63,85.0,406.2
bus,39.63,114.22,vegetarian,17.61,2,47.56,93.66,100,8.8,42.5,286.82
car_petrol,10.47,151.68,meat_light,20.83,0,65.98,124.38,200,10.42,0.0,431.95
cycle,8.26,162.57,meat_heavy,12.12,1,0.0,133.31,300,6.06,21.25,485.89
motorcycle,30.83,103.83,pescatarian,24.38,1,101.72,85.14,150,12.19,21.25,344.86
car_electric,19.13,149.51,meat_heavy,21.26,1,28.7,122.6,300,10.63,21.25,506.1
bus,54.42,253.79,meat_light,8.18,1,65.3,208.11,200,4.09,21.25,470.37
car_petrol,0.42,129.29,vegetarian,23.91,2,2.65,106.02,100,11.96,42.5,255.55
bus,4.43,134.06,meat_heavy,28.29,0,5.32,109.93,300,14.15,0.0,395.64
car_petrol,22.08,218.76,vegan,1.0,1,139.13,179.38,50,0.5,21.25,403.88
motorcycle,32.94,190.3,meat_light,15.42,0,108.7,156.05,200,7.71,0.0,452.56
bus,44.29,57.3,meat_heavy,15.69,2,53.15,46.99,300,7.84,42.5,446.74
motorcycle,5.71,62.12,meat_heavy,30.52,1,18.85,50.94,300,15.26,21.25,405.38
bus,62.15,136.46,meat_light,31.11,1,74.58,111.9,200,15.56,21.25,422.77
car_petrol,15.59,166.92,pescatarian,18.62,4,98.2,136.87,150,9.31,85.0,481.92
bus,19.57,131.08,vegetarian,12.47,1,23.49,107.49,100,6.24,21.25,256.26
train,6.23,130.59,meat_heavy,10.73,2,5.6,107.08,300,5.37,42.5,454.58
bus,2.2,189.14,vegetarian,6.95,4,2.64,155.09,100,3.47,85.0,328.19
bus,7.04,205.88,meat_light,25.86,1,8.45,168.82,200,12.93,21.25,437.28
car_petrol,10.05,238.26,meat_light,14.4,0,63.29,195.37,200,7.2,0.0,446.41
car_diesel,13.24,73.72,vegan,10.02,2,67.52,60.45,50,5.01,42.5,237.21
car_petrol,4.35,180.61,vegan,30.18,1,27.4,148.1,50,15.09,21.25,253.83
car_electric,36.71,126.09,meat_heavy,29.95,1,55.07,103.4,300,14.97,21.25,516.21
motorcycle,56.96,113.5,meat_heavy,24.74,3,187.95,93.07,300,12.37,63.75,634.97
walking,1.28,157.58,meat_light,10.58,1,0.0,129.22,200,5.29,21.25,328.26
walking,1.14,193.37,meat_light,20.89,2,0.0,158.56,200,10.45,42.5,379.46
bus,15.38,102.61,meat_light,19.98,1,18.46,84.14,200,9.99,21.25,348.0
motorcycle,4.04,87.23,meat_heavy,23.79,1,13.35,71.53,300,11.89,21.25,395.09
walking,18.26,161.6,vegetarian,14.79,2,0.0,132.51,100,7.4,42.5,296.77
walking,17.42,246.26,vegetarian,17.72,1,0.0,201.93,100,8.86,21.25,334.5
car_petrol,13.53,185.08,vegetarian,17.04,2,85.25,151.77,100,8.52,42.5,363.27
bus,11.0,110.07,meat_light,25.78,0,13.2,90.26,200,12.89,0.0,327.17
cycle,3.39,165.67,vegetarian,28.19,1,0.0,135.85,100,14.09,21.25,256.48
train,35.56,150.91,meat_heavy,12.2,4,32.0,123.75,300,6.1,85.0,548.03
walking,19.18,214.71,meat_light,17.38,1,0.0,176.06,200,8.69,21.25,405.37
cycle,44.59,48.56,meat_light,12.17,1,0.0,39.82,200,6.09,21.25,255.97
train,16.66,106.0,vegetarian,17.52,4,15.0,86.92,100,8.76,85.0,286.46
car_petrol,15.44,179.17,meat_light,4.41,0,97.25,146.92,200,2.2,0.0,442.6
walking,11.84,98.37,meat_light,13.51,2,0.0,80.66,200,6.76,42.5,314.4
train,0.53,235.64,pescatarian,16.64,1,0.48,193.22,150,8.32,21.25,355.66
train,1.34,128.69,meat_heavy,23.32,0,1.21,105.53,300,11.66,0.0,433.3
car_diesel,59.09,140.5,meat_light,18.53,0,301.35,115.21,200,9.26,0.0,595.38
walking,93.76,190.81,meat_light,18.41,0,0.0,156.47,200,9.2,0.0,377.51
bus,113.03,202.13,vegan,10.51,0,135.64,165.74,50,5.25,0.0,328.33
walking,40.52,153.03,pescatarian,31.92,0,0.0,125.49,150,15.96,0.0,281.4
car_electric,35.3,101.62,vegan,20.61,0,52.94,83.33,50,10.3,0.0,193.76
walking,25.36,140.62,pescatarian,31.23,0,0.0,115.31,150,15.61,0.0,297.82
train,4.6,10.0,meat_light,40.39,4,4.14,8.2,200,20.2,85.0,321.59
bus,1.29,109.37,meat_heavy,23.32,0,1.55,89.68,300,11.66,0.0,390.08
car_diesel,11.64,145.45,meat_light,6.52,6,59.38,119.27,200,3.26,127.5,473.21
car_petrol,1.36,117.95,meat_heavy,21.21,1,8.55,96.72,300,10.6,21.25,439.01
bus,4.68,113.52,meat_light,11.88,0,5.62,93.09,200,5.94,0.0,285.95
walking,0.56,185.05,vegetarian,24.91,0,0.0,151.74,100,12.46,0.0,249.22
train,25.74,98.86,vegetarian,23.8,3,23.16,81.06,100,11.9,63.75,266.86
car_petrol,30.37,194.97,meat_light,18.61,0,191.36,159.88,200,9.3,0.0,600.71
car_diesel,10.28,115.83,meat_light,19.01,0,52.44,94.98,200,9.5,0.0,351.27
car_electric,37.05,124.08,pescatarian,23.02,0,55.58,101.75,150,11.51,0.0,301.05
train,30.71,120.21,vegetarian,10.77,1,27.64,98.57,100,5.39,21.25,237.53
walking,37.93,229.92,meat_heavy,5.11,1,0.0,188.54,300,2.56,21.25,485.66
car_electric,46.31,231.07,meat_heavy,30.34,3,69.47,189.47,300,15.17,63.75,680.71
car_petrol,19.64,201.91,meat_light,26.48,0,123.72,165.57,200,13.24,0.0,526.45
train,2.25,72.57,pescatarian,18.85,0,2.03,59.5,150,9.43,0.0,217.43
bus,24.16,208.17,vegetarian,23.77,0,28.99,170.7,100,11.89,0.0,329.11
car_petrol,91.98,150.19,meat_heavy,29.84,0,579.49,123.15,300,14.92,0.0,985.51
bus,10.77,282.33,meat_light,29.59,0,12.92,231.51,200,14.8,0.0,449.28
cycle,5.42,164.41,meat_heavy,30.03,2,0.0,134.82,300,15.01,42.5,469.29
bus,50.57,178.77,meat_light,19.44,0,60.69,146.59,200,9.72,0.0,409.62
walking,9.63,110.66,meat_light,18.11,0,0.0,90.74,200,9.06,0.0,313.37
motorcycle,16.6,116.76,meat_light,30.47,0,54.79,95.74,200,15.23,0.0,358.0
bus,41.36,173.38,meat_light,2.24,0,49.63,142.17,200,1.12,0.0,378.93
walking,32.14,261.48,vegan,27.77,1,0.0,214.41,50,13.88,21.25,300.0
bus,11.13,143.11,meat_light,24.53,0,13.36,117.35,200,12.27,0.0,317.6
train,19.31,52.17,meat_light,20.44,0,17.38,42.78,200,10.22,0.0,256.96
motorcycle,8.43,193.97,meat_light,9.81,2,27.82,159.06,200,4.9,42.5,428.56
car_petrol,7.99,153.43,meat_light,22.28,0,50.36,125.81,200,11.14,0.0,388.44
car_petrol,21.05,23.72,meat_heavy,36.34,2,132.64,19.45,300,18.17,42.5,477.06
motorcycle,6.87,10.0,meat_light,6.59,0,22.67,8.2,200,3.3,0.0,221.59
bus,44.33,75.83,meat_heavy,30.03,3,53.19,62.18,300,15.02,63.75,471.16
car_petrol,33.8,163.95,meat_light,27.21,0,212.96,134.44,200,13.61,0.0,538.26
motorcycle,24.76,247.43,vegetarian,23.07,1,81.69,202.9,100,11.53,21.25,389.87
motorcycle,34.67,149.12,pescatarian,5.59,1,114.42,122.28,150,2.79,21.25,434.2
train,53.52,170.5,vegan,17.83,3,48.17,139.81,50,8.91,63.75,302.15
car_diesel,17.94,206.4,pescatarian,16.88,0,91.5,169.25,150,8.44,0.0,414.14
car_electric,61.75,151.88,meat_heavy,32.86,1,92.63,124.54,300,16.43,21.25,515.63
car_diesel,14.32,103.66,meat_light,27.12,2,73.04,85.0,200,13.56,42.5,443.33
cycle,18.1,170.07,meat_light,31.82,0,0.0,139.45,200,15.91,0.0,334.11
bus,7.83,155.19,meat_light,16.61,4,9.39,127.25,200,8.3,85.0,428.86
car_petrol,20.06,40.75,meat_heavy,14.35,0,126.36,33.42,300,7.18,0.0,475.58
motorcycle,1.05,73.42,meat_light,13.36,4,3.46,60.2,200,6.68,85.0,342.16
cycle,1.42,103.99,meat_heavy,20.54,2,0.0,85.27,300,10.27,42.5,449.11
cycle,26.07,151.95,vegetarian,26.44,1,0.0,124.6,100,13.22,21.25,243.6
bus,16.47,147.61,meat_heavy,8.77,0,19.76,121.04,300,4.38,0.0,439.8
train,23.15,105.91,vegetarian,6.75,4,20.83,86.85,100,3.37,85.0,278.56
car_electric,0.65,191.35,vegetarian,14.53,0,0.98,156.91,100,7.27,0.0,264.07
car_petrol,2.21,185.31,meat_heavy,25.33,3,13.95,151.95,300,12.67,63.75,558.22
car_petrol,38.18,173.56,meat_light,23.63,0,240.53,142.32,200,11.81,0.0,627.52
train,98.77,123.32,vegetarian,15.54,2,88.89,101.12,100,7.77,42.5,323.24
car_petrol,163.59,212.03,meat_light,16.74,3,1030.63,173.87,200,8.37,63.75,1577.31
car_petrol,1.96,197.88,meat_heavy,10.59,1,12.35,162.26,300,5.29,21.25,509.73
car_petrol,40.86,97.84,meat_light,19.91,1,257.45,80.23,200,9.96,21.25,536.52
motorcycle,10.17,303.07,vegan,25.2,2,33.55,248.52,50,12.6,42.5,400.36
car_electric,1.36,104.03,vegetarian,10.98,1,2.04,85.31,100,5.49,21.25,202.26
car_electric,29.85,26.37,meat_light,28.73,1,44.78,21.63,200,14.36,21.25,278.14
car_petrol,53.27,163.12,meat_heavy,16.43,0,335.6,133.76,300,8.21,0.0,761.46
bus,53.37,165.27,meat_light,15.03,1,64.04,135.52,200,7.51,21.25,397.42
car_petrol,39.08,39.21,pescatarian,16.57,3,246.19,32.15,150,8.29,63.75,520.31
car_diesel,3.12,165.83,meat_light,18.76,1,15.94,135.98,200,9.38,21.25,388.45
car_electric,41.14,88.45,vegetarian,20.5,1,61.71,72.53,100,10.25,21.25,284.3
car_diesel,50.92,103.54,vegan,26.49,0,259.68,84.9,50,13.24,0.0,422.74
car_petrol,11.6,257.09,vegetarian,20.11,1,73.09,210.81,100,10.05,21.25,414.21
bus,42.64,176.62,meat_light,16.21,1,51.17,144.83,200,8.11,21.25,438.94
motorcycle,3.72,168.47,meat_light,36.55,0,12.29,138.15,200,18.27,0.0,392.71
bus,2.23,244.89,meat_heavy,17.52,1,2.68,200.81,300,8.76,21.25,567.19
car_diesel,13.22,199.16,vegetarian,23.39,3,67.4,163.31,100,11.7,63.75,394.5
car_petrol,6.84,58.38,pescatarian,15.97,0,43.09,47.87,150,7.99,0.0,240.83
bus,14.58,225.15,meat_heavy,13.77,2,17.49,184.63,300,6.88,42.5,536.68
train,4.12,128.23,meat_heavy,13.05,0,3.71,105.15,300,6.52,0.0,386.36
car_petrol,48.93,69.85,meat_light,25.79,1,308.26,57.28,200,12.9,21.25,614.59
car_diesel,49.95,216.79,vegan,11.26,0,254.75,177.77,50,5.63,0.0,476.57
bus,1.89,111.54,meat_light,25.27,2,2.27,91.46,200,12.64,42.5,352.31
train,27.11,217.25,vegetarian,15.81,1,24.4,178.15,100,7.9,21.25,344.72
car_electric,9.02,229.36,meat_heavy,18.65,1,13.52,188.08,300,9.32,21.25,545.92
cycle,2.59,195.87,meat_heavy,12.16,3,0.0,160.61,300,6.08,63.75,523.24
car_petrol,14.4,104.46,meat_heavy,12.17,0,90.7,85.66,300,6.09,0.0,507.73
motorcycle,22.66,134.39,vegetarian,14.75,4,74.79,110.2,100,7.37,85.0,395.91
motorcycle,6.33,138.38,vegetarian,24.32,1,20.88,113.47,100,12.16,21.25,286.77
car_petrol,6.8,160.51,meat_heavy,12.28,1,42.84,131.62,300,6.14,21.25,541.55
bus,1.92,178.54,pescatarian,6.02,0,2.31,146.4,150,3.01,0.0,277.65
motorcycle,45.33,89.67,vegetarian,12.19,0,149.59,73.53,100,6.1,0.0,317.89
train,59.05,129.17,vegetarian,26.17,3,53.14,105.92,100,13.08,63.75,343.21
car_petrol,14.05,209.98,meat_light,12.81,6,88.49,172.19,200,6.41,127.5,552.22
car_electric,16.44,30.07,meat_light,20.27,3,24.66,24.65,200,10.14,63.75,345.89
cycle,47.52,226.5,pescatarian,21.58,0,0.0,185.73,150,10.79,0.0,336.37
motorcycle,8.41,147.22,vegetarian,20.91,1,27.74,120.72,100,10.46,21.25,260.32
car_petrol,6.19,10.0,meat_heavy,9.64,2,39.01,8.2,300,4.82,42.5,389.88
car_electric,9.51,84.23,vegetarian,19.46,4,14.27,69.07,100,9.73,85.0,294.06
train,16.46,176.77,meat_heavy,20.15,0,14.81,144.95,300,10.08,0.0,493.23
car_petrol,6.01,95.47,meat_heavy,33.48,0,37.83,78.29,300,16.74,0.0,433.66
cycle,58.61,126.0,meat_light,11.76,0,0.0,103.32,200,5.88,0.0,332.35
cycle,4.57,70.16,meat_light,2.58,0,0.0,57.53,200,1.29,0.0,247.5
walking,59.76,215.53,vegetarian,8.19,3,0.0,176.73,100,4.09,63.75,351.96
car_petrol,59.92,36.43,pescatarian,22.49,0,377.52,29.88,150,11.25,0.0,575.75
walking,17.48,162.48,pescatarian,14.21,3,0.0,133.24,150,7.11,63.75,350.39
car_petrol,5.3,104.15,meat_heavy,27.01,0,33.4,85.4,300,13.5,0.0,419.98
motorcycle,71.7,91.21,meat_light,16.83,1,236.62,74.8,200,8.42,21.25,575.78
walking,12.1,207.83,meat_heavy,19.84,0,0.0,170.42,300,9.92,0.0,466.51
motorcycle,6.52,71.15,vegan,26.35,0,21.53,58.34,50,13.17,0.0,149.96
cycle,16.5,170.51,vegetarian,19.52,0,0.0,139.82,100,9.76,0.0,241.27
car_petrol,11.93,162.91,meat_light,26.13,4,75.13,133.59,200,13.07,85.0,470.17
car_diesel,20.86,123.49,meat_light,20.89,1,106.39,101.26,200,10.44,21.25,453.27
bus,9.66,140.74,vegetarian,13.11,4,11.59,115.4,100,6.56,85.0,317.29
car_diesel,36.34,31.96,meat_heavy,19.83,3,185.35,26.21,300,9.92,63.75,601.42
car_petrol,20.89,118.07,vegetarian,23.08,3,131.58,96.82,100,11.54,63.75,372.7
train,16.05,139.0,meat_heavy,19.84,0,14.45,113.98,300,9.92,0.0,441.21
bus,30.32,152.47,pescatarian,24.78,4,36.38,125.02,150,12.39,85.0,418.09
car_diesel,3.38,125.34,meat_light,28.17,1,17.24,102.78,200,14.09,21.25,338.24
bus,1.57,222.48,meat_light,2.03,2,1.88,182.43,200,1.02,42.5,450.28
train,0.99,159.92,meat_heavy,8.94,3,0.89,131.14,300,4.47,63.75,527.67
car_diesel,14.03,76.85,vegan,19.17,4,71.55,63.02,50,9.58,85.0,267.57
car_diesel,2.18,158.13,meat_light,25.83,3,11.1,129.67,200,12.91,63.75,407.12
bus,0.99,176.5,meat_heavy,16.66,0,1.19,144.73,300,8.33,0.0,445.29
bus,0.01,105.24,vegetarian,14.71,2,0.01,86.3,100,7.35,42.5,227.84
car_petrol,17.54,127.01,vegan,24.33,0,110.52,104.15,50,12.17,0.0,287.8
bus,42.43,140.37,vegan,40.01,6,50.91,115.11,50,20.0,127.5,356.75
car_petrol,27.47,188.84,meat_light,6.98,1,173.05,154.85,200,3.49,21.25,582.36
car_diesel,14.88,272.15,meat_heavy,23.75,0,75.91,223.16,300,11.88,0.0,625.22
car_petrol,67.45,237.08,vegan,14.08,0,424.91,194.4,50,7.04,0.0,674.95
cycle,18.73,148.25,meat_light,26.2,0,0.0,121.56,200,13.1,0.0,350.87
car_diesel,57.47,271.08,meat_heavy,21.84,0,293.09,222.29,300,10.92,0.0,839.65
car_petrol,17.21,129.36,pescatarian,17.0,1,108.41,106.07,150,8.5,21.25,402.0
car_petrol,17.51,167.82,meat_light,9.8,1,110.34,137.61,200,4.9,21.25,492.18
car_electric,36.22,111.34,meat_light,1.0,0,54.32,91.3,200,0.5,0.0,354.65
bus,9.27,163.47,vegetarian,24.01,0,11.13,134.04,100,12.01,0.0,260.98
cycle,1.12,174.57,vegan,17.79,0,0.0,143.14,50,8.89,0.0,216.88
bus,7.58,179.17,meat_light,17.4,2,9.1,146.92,200,8.7,42.5,434.47
motorcycle,5.31,203.92,meat_heavy,20.3,0,17.51,167.21,300,10.15,0.0,510.13
bus,59.5,155.67,meat_heavy,11.61,1,71.4,127.65,300,5.81,21.25,524.6
car_petrol,8.15,173.42,vegetarian,18.77,1,51.33,142.21,100,9.38,21.25,333.06
car_petrol,16.66,186.73,meat_light,23.18,2,104.96,153.12,200,11.59,42.5,481.55
walking,3.56,105.57,meat_heavy,26.92,2,0.0,86.57,300,13.46,42.5,460.5
car_diesel,14.63,230.0,vegetarian,24.65,4,74.62,188.6,100,12.33,85.0,489.31
car_diesel,43.26,10.0,pescatarian,30.87,1,220.61,8.2,150,15.44,21.25,430.78
motorcycle,24.8,214.33,vegan,28.1,3,81.85,175.75,50,14.05,63.75,382.83
car_diesel,6.92,210.62,pescatarian,19.65,2,35.29,172.71,150,9.82,42.5,383.85
motorcycle,119.75,107.69,meat_light,25.27,0,395.16,88.31,200,12.64,0.0,686.03
train,36.88,46.18,meat_light,30.67,1,33.19,37.87,200,15.34,21.25,310.59
motorcycle,17.58,177.07,meat_light,16.27,0,58.0,145.19,200,8.13,0.0,428.85
walking,73.58,92.93,meat_light,17.27,0,0.0,76.2,200,8.63,0.0,304.61
car_petrol,7.28,47.01,meat_heavy,9.03,1,45.89,38.55,300,4.51,21.25,388.6
car_diesel,17.79,169.9,meat_light,11.62,2,90.72,139.32,200,5.81,42.5,511.85
cycle,73.0,117.39,pescatarian,16.99,3,0.0,96.26,150,8.49,63.75,342.56
cycle,2.91,143.7,vegan,24.9,1,0.0,117.84,50,12.45,21.25,186.9
bus,10.33,291.11,meat_heavy,15.58,2,12.4,238.71,300,7.79,42.5,595.05
cycle,59.0,155.22,vegetarian,11.71,0,0.0,127.28,100,5.86,0.0,239.42
cycle,4.45,171.71,meat_heavy,22.56,0,0.0,140.8,300,11.28,0.0,481.3
car_electric,20.09,123.97,vegetarian,33.78,0,30.14,101.65,100,16.89,0.0,255.44
car_petrol,40.98,130.79,pescatarian,1.0,0,258.2,107.25,150,0.5,0.0,554.24
bus,0.59,211.37,pescatarian,18.48,0,0.71,173.32,150,9.24,0.0,347.05
bus,21.12,75.26,meat_light,24.18,1,25.34,61.71,200,12.09,21.25,309.29
walking,46.2,126.97,vegetarian,21.62,1,0.0,104.11,100,10.81,21.25,223.35
walking,4.31,13.83,meat_light,18.33,0,0.0,11.34,200,9.16,0.0,218.04
car_diesel,54.68,118.88,meat_heavy,26.83,0,278.85,97.48,300,13.41,0.0,741.26
bus,9.03,114.81,meat_heavy,18.51,0,10.84,94.14,300,9.26,0.0,424.51
motorcycle,74.36,162.3,meat_light,7.01,2,245.38,133.09,200,3.51,42.5,581.31
car_petrol,6.04,102.91,meat_light,24.81,0,38.04,84.39,200,12.41,0.0,354.2
walking,18.27,76.05,vegan,14.52,0,0.0,62.36,50,7.26,0.0,122.57
bus,72.08,245.91,meat_light,13.16,1,86.49,201.64,200,6.58,21.25,496.79
motorcycle,15.91,167.85,pescatarian,21.12,0,52.5,137.64,150,10.56,0.0,350.48
bus,4.61,172.73,meat_light,25.56,1,5.53,141.64,200,12.78,21.25,402.53
motorcycle,11.68,312.18,vegetarian,18.15,3,38.54,255.99,100,9.08,63.75,480.38
bus,2.62,93.25,vegan,22.08,1,3.14,76.46,50,11.04,21.25,159.38
bus,2.34,75.01,meat_heavy,17.88,1,2.8,61.51,300,8.94,21.25,406.33
car_electric,2.49,261.68,vegan,12.43,2,3.73,214.57,50,6.21,42.5,318.88
car_diesel,1.59,83.81,vegan,26.56,2,8.11,68.72,50,13.28,42.5,184.73
motorcycle,11.3,189.73,meat_heavy,11.15,0,37.29,155.58,300,5.58,0.0,506.19
motorcycle,14.8,193.26,meat_light,15.64,1,48.83,158.47,200,7.82,21.25,422.74
car_petrol,2.25,96.58,meat_light,25.02,0,14.15,79.19,200,12.51,0.0,301.73
motorcycle,11.46,131.94,meat_light,14.95,2,37.82,108.19,200,7.47,42.5,382.44
motorcycle,5.37,140.48,vegetarian,21.74,0,17.74,115.19,100,10.87,0.0,229.27
bus,1.95,171.62,pescatarian,12.71,2,2.34,140.73,150,6.36,42.5,345.07
car_diesel,26.3,155.78,meat_light,11.87,0,134.15,127.74,200,5.94,0.0,475.62
cycle,170.42,61.27,vegetarian,33.38,0,0.0,50.24,100,16.69,0.0,166.38
car_electric,61.28,66.56,pescatarian,8.42,3,91.92,54.58,150,4.21,63.75,373.26
bus,10.17,152.25,pescatarian,28.73,1,12.2,124.85,150,14.37,21.25,331.31
car_petrol,51.31,30.61,vegetarian,14.6,1,323.23,25.1,100,7.3,21.25,476.6
motorcycle,28.38,180.34,meat_light,19.31,2,93.66,147.88,200,9.65,42.5,462.84
car_electric,10.27,215.32,vegan,21.68,0,15.4,176.56,50,10.84,0.0,266.97
car_diesel,27.62,225.14,vegetarian,21.29,0,140.87,184.61,100,10.65,0.0,440.1
walking,13.4,209.74,meat_heavy,7.08,3,0.0,171.99,300,3.54,63.75,582.03
car_petrol,2.99,220.86,vegetarian,23.23,0,18.86,181.1,100,11.61,0.0,325.88
car_petrol,11.53,323.5,meat_light,22.23,0,72.62,265.27,200,11.11,0.0,558.9
bus,19.83,70.75,vegetarian,26.17,0,23.8,58.01,100,13.09,0.0,186.31
bus,45.88,208.29,pescatarian,25.41,1,55.06,170.79,150,12.71,21.25,402.84
car_petrol,1.58,158.2,vegetarian,20.2,0,9.95,129.72,100,10.1,0.0,260.94
car_diesel,44.25,165.42,meat_light,20.94,2,225.66,135.64,200,10.47,42.5,610.82
bus,14.93,152.09,meat_light,9.0,2,17.91,124.72,200,4.5,42.5,404.31
bus,3.01,150.15,meat_heavy,34.47,3,3.61,123.12,300,17.24,63.75,471.58
cycle,0.96,191.15,vegetarian,2.77,2,0.0,156.74,100,1.39,42.5,276.98
car_petrol,21.73,177.19,meat_light,21.87,2,136.93,145.3,200,10.93,42.5,526.6
car_petrol,3.2,269.48,meat_light,23.14,2,20.16,220.98,200,11.57,42.5,496.94
car_petrol,5.33,179.92,meat_heavy,26.03,0,33.58,147.53,300,13.01,0.0,532.88
car_diesel,0.3,90.1,meat_light,24.15,3,1.51,73.88,200,12.08,63.75,341.11
bus,5.2,60.1,vegetarian,29.15,0,6.24,49.28,100,14.57,0.0,161.36
cycle,12.65,130.73,pescatarian,7.31,2,0.0,107.2,150,3.66,42.5,326.23
motorcycle,49.34,79.35,meat_light,21.81,1,162.82,65.07,200,10.91,21.25,471.12
cycle,14.51,164.97,meat_light,23.19,1,0.0,135.27,200,11.6,21.25,357.85
walking,27.52,143.35,meat_light,17.67,0,0.0,117.55,200,8.83,0.0,301.52
motorcycle,10.11,51.96,vegetarian,16.6,2,33.37,42.61,100,8.3,42.5,227.31
car_diesel,9.63,107.13,vegetarian,21.23,0,49.1,87.85,100,10.61,0.0,259.93
train,34.99,207.25,meat_light,29.75,1,31.49,169.94,200,14.87,21.25,405.24
bus,37.61,15.55,vegetarian,20.05,1,45.14,12.75,100,10.02,21.25,194.99
cycle,10.48,170.47,meat_heavy,32.0,1,0.0,139.79,300,16.0,21.25,478.38
bus,34.59,289.26,meat_light,24.83,0,41.51,237.19,200,12.41,0.0,512.18
train,9.34,202.03,vegan,16.02,3,8.4,165.67,50,8.01,63.75,284.31
bus,68.72,99.93,meat_light,33.9,0,82.46,81.95,200,16.95,0.0,367.77
walking,34.74,69.81,vegan,30.69,0,0.0,57.24,50,15.35,0.0,123.65
train,19.27,72.19,meat_light,14.74,0,17.34,59.2,200,7.37,0.0,304.54
car_diesel,63.88,165.86,meat_light,19.68,4,325.76,136.0,200,9.84,85.0,696.72
train,58.34,192.2,meat_light,19.02,1,52.51,157.6,200,9.51,21.25,415.55
car_petrol,41.54,163.98,meat_heavy,14.26,0,261.68,134.47,300,7.13,0.0,721.87
car_petrol,23.14,180.6,pescatarian,14.19,1,145.8,148.09,150,7.09,21.25,479.75
car_petrol,33.83,212.46,vegetarian,9.88,2,213.16,174.21,100,4.94,42.5,503.0
motorcycle,7.1,99.23,meat_heavy,27.07,3,23.43,81.37,300,13.53,63.75,458.66
bus,2.3,241.82,meat_light,13.78,1,2.75,198.29,200,6.89,21.25,414.25
car_electric,2.72,151.94,meat_light,34.53,0,4.07,124.59,200,17.27,0.0,336.21
car_electric,0.65,215.39,meat_heavy,15.43,1,0.98,176.62,300,7.72,21.25,502.96
car_petrol,52.84,21.65,meat_heavy,18.83,0,332.9,17.76,300,9.42,0.0,668.67
bus,6.19,263.53,meat_light,12.93,0,7.43,216.1,200,6.47,0.0,460.04
